cd_avaliacao,cd_produto,cd_cliente,nr_nota,ds_comentario,dt_avaliacao
1,20,21,4,COMPRA SEGURA E RAPIDA,2022-02-19
2,30,60,2,COMPRA SEGURA E RAPIDA,2024-04-10
3,12,48,4,BOM PRODUTO POREM CARO,2022-01-03
4,41,10,4,SUPEROU O ESPERADO,2023-11-13
5,34,5,3,MUITO BOM CUSTO BENEFICIO,2023-07-07
6,45,79,5,PRODUTO REGULAR NADA ESPECIAL,2023-03-01
7,44,11,5,SUPEROU O ESPERADO,2023-11-19
8,48,8,5,SUPEROU O ESPERADO,2024-01-16
9,4,15,4,PRODUTO CONFORME DESCRICAO,2024-08-11
10,40,6,3,PRODUTO CONFORME DESCRICAO,2022-12-25
11,42,72,1,PODERIA SER MELHOR,2023-02-24
12,9,43,2,PODERIA SER MELHOR,2022-08-21
13,42,62,5,COMPRA SEGURA E RAPIDA,2023-03-06
14,49,96,2,PRODUTO CONFORME DESCRICAO,2023-12-24
15,18,65,4,ENTREGA DENTRO DO PRAZO,2022-04-22
16,5,48,3,ATENDEU MINHAS NECESSIDADES,2024-09-22
17,33,68,1,ATENDEU MINHAS NECESSIDADES,2024-12-25
18,44,69,3,ATENDEU MINHAS NECESSIDADES,2024-01-24
19,44,89,1,SUPEROU MINHAS EXPECTATIVAS,2024-07-26
20,6,11,4,SUPEROU O ESPERADO,2023-01-02
21,19,10,1,PRODUTO DE QUALIDADE,2023-07-20
22,8,90,2,ATENDEU MINHAS NECESSIDADES,2022-11-05
23,14,67,1,ENTREGA DENTRO DO PRAZO,2024-05-03
24,44,70,2,ATENDEU MINHAS NECESSIDADES,2023-12-12
25,27,57,1,ENTREGA DENTRO DO PRAZO,2023-01-23
26,5,3,2,COMPRA SEGURA E RAPIDA,2024-11-30
27,42,43,4,PRODUTO REGULAR NADA ESPECIAL,2023-12-04
28,42,83,3,ATENDEU MINHAS NECESSIDADES,2024-12-21
29,36,57,4,ENTREGA DENTRO DO PRAZO,2022-09-28
